,객체소분류,부위위치
87,질병,"['작업 착수 전 대기중에 쓰러져 병원으로 이송하여 사망' '상부(위)' '심근경색' '차량 내' '개인질병' '심장마비' '바닥'
 ' 가시설위에서 작업중 쓰러짐' '포장공사 현장' '발 화상' '소음성난청' '외부 비계 2층 발판' '목디스크' '지하' '허리'
 '옆' '마비와서 쓰러짐' '외벽돌공사 장기작업에 따른 무릎질병(연골판 파열) 발생' '퇴행성 업무상 질환' '좌측 어깨'
 '가슴통증' '우측회전근개 파열' '원인미상 심정지' '개인지병' '하부(아래)' '토사 선별장비 상부' '기초타설지역'
 '외벽공사' '근골격계 질환' '신체 스트레스 누적' '감압병' '우측 어깨 염좌' '만성폐쇄성폐질환' '당뇨 및 고혈압' '기타'
 '우측 무릎 전방 십자인대' '터널내부' '근골격계 질환 특정부위 지정할수 없음' '기존 질병 악화' '소음성 난청' '외부'
 '손가락 골절' '원인불명' '근로자휴게소' '고소' '절토비탈면 소단' '우측 무릎' '팔꿈치' '없음' '엉덩이 화상'
 '사인불명' '급성심근경색' '고혈압' '질병' '심근경색 추정' '귀,폐' '좌측 회전근개증후군, 우측 족관절 인대장애' '.'
 nan '어깨' '뇌내출혈' '질병으로 인한 사고' '질병성 재해로 분류불능' '뇌출혈' '지상1층' '디스크로 인한 허리통증'
 '자재옆' '기왕증' '오른손 중지, 검지 절단' '난청' '외부요양중' '팔꿈치염좌']"
88,차량,"['일반도로 주행차량의 충격' '후면 바퀴' '옆' '지하' '상부(위)' '적재함' '앞' '살수차 엔진모터' '고소' '뒤'
 '바닥' '스카이차량 침수' '하부(아래)' '도로 위 차량간 충돌사고' '되메우기구간' '자재운반 트레일로 위' '차량에서 추락'
 '1차 추돌후 15m끌려가고 차량하부 바퀴깔림' nan '내부' '도로']"
89,창호,"['고소' '상부(위)' '바닥' '하부(아래)' '창호 운반작업' '유리' '오른쪽발목인대' '옆' '앞' '지하주차장 상부 보'
 '2층 이야기계단 상부' nan]"
90,천공기,"['바닥' '공사현장 내부에서 전도되어 외부 피해 발생' '앞' '옆' '케이싱 유압고정장치부' '천공기 후미(무게추)'
 '상부(위)' '헤머' '전도' '천공기 옆 부지' '하부(아래)' '드릴' '지하' '해체작업중' '리더분리오거'
 '천공기 케이싱설치부위' '천공기 빗트' '와이어' '점보드릴 비트' '내부' '붐대 (지상1.5m)']"
91,천정패널,['상부(위)' '하차 작업 과정' '하부(아래)' '바닥' '옆' nan]
92,철골부재,"['상부(위)' '바닥' '고소' '밴트' '하부(아래)' '기둥밴드' '옆' '철근가공장' '철골브라켓 (H:1.5m)'
 '지면위 파일천공부' '지하' '앞' '기초터파기면' nan '떨어짐' '기타']"
93,철근,"['바닥' '하부(아래)' '상부(위)' '철근가공중 발생' '앞' '철근가공 중 손가락 끼임' '운반작업중 미끄러짐' '지하'
 '합벽 하부 정면부' '고소' '109동 10층 바닥' '절단면' '철골정리작업' '4층 외측부 계단' '옆' '철근 끝단'
 '이동후 배근작업' '철근운반' '철근차량 상부' '뒤' '철근 이동 중' '철근자재 운반중' '철근 정리' '자재에 부딪힘'
 '줄기초 상부 철근 배근' '주변 철근에 부닺힘' '현장 내 철근 인양시 부상' '절곡기에 손끼임' '왼쪽허벅지 열상(철근 찔림)'
 '왼쪽 다리 골절' '철근 가공장' '906동 22층 슬라브' '철근가공' '거더제작장' '철근 사이' '철근배근 상부'
 '철근 낙하' '기준층 슬라브 벽체 타설부위' '벽체철근' '사고위치 불분명' '벽체 철근 묶기' '철근사이 손가락 끼임'
 '철근자재  사이' '보 스트럽 철근' '인근' '인양함 로프' '기존 구조물의 철근' '계단실 벽체 돌출철근' '밴딩작업기'
 '옹벽 철근' '자재인양구의 철근' nan '손가락' '기초' '계단벽체' '2층 바닥슬라브' '철근 운반중 부딪힘']"
94,철망,['바닥' '옆' '상부(위)' nan]
95,체인블럭,['바닥' '상부(위)' '지하' nan]
96,콘크리트믹서트럭,"['앞' '시멘트 빈' '바닥' '상부(위)' '차량내부(운전석)' '뒤' '옆' '슈트' '레미콘 운전석' '교반기' '운전석'
 '차량전도(믹서 파손 예상)' '레미콘 차량 상단' '하부(아래)' nan '차량내부']"
97,콘크리트뱃칭플랜트,['바닥' nan]
98,콘크리트살포기,['상부(위)' '바닥' nan]
99,콘크리트펌프,"['바닥' '기초바닥타설' '호스' '뒤' '앞' '상부(위)' '배관 연결부의 파열' '펌프카 조작미숙으로 한쪽 들림' '붐대'
 '펌프카 붐대 부딪힘' '건축물에서떨어진도로부분' '지하' '옆' '아웃트리거 상단부' '지상 3층 내부' '하부(아래)' '머리'
 nan]"
100,콘크리트피니셔,['상부(위)' '하부(아래)' '운반' '바닥' nan]
101,타워크레인,"['유도로프' '바닥' '514동 게스트하우스 pit층 상부' '옆' '트롤리' '마스터 인상작업중 Running Rail'
 '상부(위)' '하부(아래)' '고소' '지하' '타워크레인 옆 공동주택내' '타워크레인 해체' '마스터 케이지 부근 추락'
 '자재반입차량 상부' '타워크레인 운전석 이동중' '전체' '3번타워 15.5M지점' nan]"
102,터널 갱구부,['터널 상부 측면' nan]
103,터널 막장면,['하부(아래)' '상부(위)' '옆' '바닥' nan]
104,터널 천단부,['상부(위)' '바닥' nan]
105,트러스,['고소' '앞' nan]
106,특수거푸집(갱폼 등),['바닥' '상부(위)' '측벽' '앞' '이동통로난간대' '하부(아래)' '고소' '옆' '지하' nan '라이닝폼 작업발판위']
107,특수건설기계,"['고속절단기 회전날' '장비 하부' '하부(아래)' '바닥' '지하' '상부(위)' '검지손가락' '옆' '노면' '앞'
 '호이스트 카 추락' '작업대 추락' nan]"
108,파이프서포트,"['지하' '하부(아래)' '바닥' '상부(위)' '서포트 낙하' '옆' '패드' '고소' '6층 계단' '받침목'
 '미끄러져 떨어짐' '앞' '서포트 조절핀' '정리작업중']"
109,파형강판,['하부(아래)' '바닥' '상부(위)']
110,핀,"['바닥' '101동 6층 계단실' '옆' '앞' '지하' '핀이 튐' '하부(아래)' '고소' '내부 벽체(유로폼)' '상부(위)'
 '토사 사면' '눈' '거푸집해체작업']"
111,항타 및 항발기,"['옆' '조종석 옆 발판' '리더옆' '하부(아래)' '바닥' '철근망 관입중 끼임' '앞' '중장비' '파일공사 작업' '해머'
 '와이어로프 드럼' '사다리' '와이어가 감기는 드럼' '뒤' '항타기 해머' '유압호스 이동 중' '케이싱 오거 파손'
 '항타기해체' '와이어로프와 도르래사이' '항타 및 항발기 작업 바지선 좌측 윈치' '상부(위)'
 '천공장비에 윤활유 주입 중 와이어로프가 튕겨져 사고자 가격함' '범양항타기(장비번호 부산 23-5037) 주변' nan '지하'
 '오랜시간 운전으로 인한 허리통증']"
112,현장타설말뚝,['바닥']
113,흙막이가시설,"['바닥' '상부(위)' '지하' '근처' '코너스트러트 위' '옆' '토류판 설치 인근' '뒤' '5단 버팀보 브레이싱 설치 중'
 'H-beam 제작 작업장' '토공용 포스트' '하부(아래)' '고소' '엉치뼈 골절 및 허리디스크' '현장 야적장' '앞'
 '지하15m 굴착후 지하 15m 바닥지점에서 2.5m 위의 버팀보' '코너 스트러트  부분' '이동' '토류판 설치 앞'
 '터파기 부분' '흙막이가시설3단' '지하1층 터파기 위치' '지하1층 터파기' '1단 띠장 작업' '가시설흙막이 철골빔 위'
 '안전난간' nan '흙막이인근']"
